Row_ID,Brand,Model,Battery,km_of_range,0-100,Top_Speed,Range,Efficiency,Fastcharge,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value
120,FISKER,Ocean Extreme,84.7,132.0,3.9,a2,490.0,217.0,580.0,61000.0,63590.0,57900.0,All Wheel Drive,Towbar possible,1200.0,5.0,72143.0
1210,VOLKSWAGEN,Enyaq Coupe 85x,77.0,130.0,6.6,a1,460.0,167.0,670.0,54795.0,54400.0,45875.0,Rear Wheel Drive,Towbar not possible,1200.0,5.0,71022.0
122,RENAULT,Twingo Electric,21.3,207.0,12.6,a1,280.0,158.0,290.0,28000.0,0.0,0.0,Rear Wheel Drive,Towbar not possible,0.0,4.0,29680.0
1230,POLESTAR,4 Long Range Single Motor,94.0,133.0,7.4,a1,495.0,190.0,670.0,63200.0,64800.0,59990.0,Rear Wheel Drive,Towbar possible,1200.0,5.0,74747.0
124,POLESTAR,4 Long Range Dual Motor,94.0,158.0,3.8,a2,465.0,202.0,630.0,71200.0,72800.0,66990.0,All Wheel Drive,Towbar possible,2000.0,5.0,80790.0
1250,FISKER,Ocean Ultra,106.5,115.0,4.2,a2,510.0,209.0,610.0,58900.0,58990.0,50900.0,All Wheel Drive,Towbar possible,1820.0,5.0,63421.0
126,TESLA,Model X Plaid,92.0,271.0,2.7,a3,455.0,209.0,630.0,115970.0,115993.0,120000.0,All Wheel Drive,Towbar possible,2250.0,4.0,149520.0
1270,MG,MG4 Electric XPOWER,61.7,137.0,3.8,a2,320.0,180.0,520.0,42000.0,42285.0,36495.0,Front Wheel Drive,Towbar not possible,500.0,5.0,45472.0
1280,ALFA ROMEO,Junior Elettrica 54 kWh,50.8,127.0,9.0,a1,315.0,161.0,500.0,39500.0,39000.0,36000.0,Front Wheel Drive,Towbar not possible,0.0,5.0,44856.0
129,OPEL,Mokka-e 50 kWh,46.3,121.0,9.2,a1,260.0,178.0,420.0,40650.0,36999.0,36610.0,Front Wheel Drive,Towbar not possible,0.0,5.0,45616.0
130,KIA,G80 Electrified Luxury,96.0,159.0,9.4,a1,450.0,213.0,850.0,72490.0,67995.0,53975.0,Rear Wheel Drive,Towbar possible,900.0,7.0,80983.0
131,PEUGEOT,e-208 50 kWh,46.3,127.0,9.0,a1,290.0,160.0,460.0,39995.0,35870.0,32650.0,Front Wheel Drive,Towbar not possible,0.0,5.0,40681.0
132,MERCEDES-BENZ,EQE 300,89.0,137.0,7.3,a2,525.0,170.0,660.0,67187.0,69928.0,50845.0,Rear Wheel Drive,Towbar possible,750.0,5.0,85737.0
1330,POLESTAR,2 Standard Range Single Motor,67.0,118.0,6.4,a2,405.0,165.0,480.0,46275.0,44950.0,44950.0,Rear Wheel Drive,Towbar possible,1500.0,5.0,56007.0
134,VOLKSWAGEN,ID.7 Tourer GTX,86.0,142.0,6.0,a1,470.0,179.0,770.0,59200.0,65000.0,65000.0,All Wheel Drive,Towbar possible,0.0,5.0,80990.0
135,POLESTAR,2 Long Range Dual Motor,79.0,125.0,4.5,a2,450.0,176.0,670.0,53000.0,55200.0,52950.0,All Wheel Drive,Towbar possible,1500.0,5.0,65975.0
136,MASERATI,GranCabrio Folgore,83.0,530.0,2.8,a3,395.0,210.0,870.0,206713.0,208250.0,185610.0,All Wheel Drive,Towbar possible,0.0,4.0,231270.0
137,HYUNDAI,Kona Electric 48 kWh,48.4,126.0,8.8,a1,295.0,164.0,500.0,41990.0,39995.0,31995.0,Front Wheel Drive,Towbar possible,300.0,5.0,38868.0
138,SMART,#3 Brabus,62.0,153.0,3.7,a1,335.0,185.0,520.0,50990.0,50895.0,48695.0,All Wheel Drive,Towbar possible,1600.0,5.0,56070.0
1390,PORSCHE,Macan Turbo Electric,95.0,239.0,4.0,a3,480.0,198.0,960.0,114600.0,121000.0,95000.0,All Wheel Drive,Towbar possible,2000.0,5.0,118370.0
1400,VOLKSWAGEN,ID.4 Pro 4MOTION,77.0,119.0,6.6,a1,425.0,181.0,630.0,49020.0,51990.0,0.0,All Wheel Drive,Towbar possible,1200.0,5.0,41424.0
1410,LANCIA,Ypsilon,48.1,131.0,8.6,a1,305.0,158.0,470.0,40000.0,40000.0,0.0,Front Wheel Drive,Towbar not possible,0.0,5.0,22346.0
1420,VOLKSWAGEN,ID.7 Tourer Pro S,86.0,153.0,7.0,a1,505.0,170.0,810.0,61000.0,61000.0,60000.0,Rear Wheel Drive,Towbar possible,900.0,5.0,74760.0
143,FIAT,600e,50.8,121.0,9.0,a1,305.0,167.0,490.0,36490.0,35990.0,32995.0,Front Wheel Drive,Towbar not possible,0.0,5.0,39865.0
144,NISSAN,Leaf e+,57.4,121.0,6.9,a1,340.0,174.0,240.0,40490.0,0.0,0.0,Front Wheel Drive,Towbar not possible,0.0,5.0,38262.0
